Flow Packets/s,Flow Bytes/s,Total Fwd Packets,Total Backward Packets,Fwd Packets/s,Bwd Packets/s,Down/Up Ratio,Flow Duration,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,SYN Flag Count,ACK Flag Count,RST Flag Count,PSH Flag Count,FIN Flag Count,Packet Length Mean,Packet Length Std,Packet Length Variance,Packet Length Min,Packet Length Max,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes
0.6424801790849252,0.0,4,0,0.6424802,0.0,0.0,6225873,1.0,0.0,1.0,1.0,6225871.0,0.0,6225871.0,6225871.0,2075291.0,3594507.8,6225871.0,1.0,2075291.0,3594507.8,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0
0.1713864756456485,0.0,16,2,0.15234353,0.01904294,0.0,105025790,11.2,22.807894,52.0,1.0,15003676.0,4546691.0,24198732.0,11168197.0,6177987.5,8104622.5,24198732.0,0.0,7001719.5,8299942.0,2.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,2,0
40000.0,0.0,2,2,20000.0,20000.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,57.735027,100.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0
0.1855448350713414,0.0,12,4,0.13915862,0.04638621,0.0,86232527,44.6,60.039986,119.0,1.0,17246460.0,13052352.0,39000050.0,6972129.0,5748835.0,10931348.0,39000050.0,0.0,7839320.5,12217430.0,20004676.0,34649116.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,4,0
33898.30508474576,0.0,2,2,16949.152,16949.152,1.0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.333332,67.26317,117.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0
0.1407406037978992,0.0,12,2,0.1206348,0.0201058,0.0,99473781,17.75,33.5,68.0,1.0,19894742.0,5673007.0,28041996.0,14596568.0,7651829.5,10593156.0,28041996.0,0.0,9043071.0,10991768.0,1.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,2,0
0.1804931345431585,0.0,14,2,0.15793149,0.022561641,0.0,88646031,22.5,30.171179,71.0,1.0,14774316.0,4610504.5,22843780.0,9569166.0,5909735.5,7982533.0,22843780.0,1.0,6818925.5,8223426.5,1.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,2,0
0.818597554112368,0.0,4,0,0.81859756,0.0,0.0,4886406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628802.0,2821167.8,4886406.0,0.0,1628802.0,2821167.8,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0
0.1716243709309805,0.0,14,2,0.15017132,0.021453047,0.0,93226853,27.25,52.5,106.0,1.0,15537783.0,4563707.5,20083530.0,9405632.0,6215123.5,8337766.5,20083530.0,0.0,7171296.5,8583501.0,2.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,2,0
0.153428647519787,0.0,14,0,0.15342864,0.0,0.0,91247627,1.0,0.0,1.0,1.0,15207937.0,3518159.2,20979088.0,11163436.0,7019048.0,8211292.5,20979088.0,0.0,7019048.0,8211292.5,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0
